Local Best, Global Best
12.000000i,0.000000
15.000000i,0.000000
9.000000i,0.000000
17.000000i,0.000000
0.000000i,0.000000
0.000000i,0.000000
11.000000i,0.000000
4.000000i,0.000000
1.000000i,0.000000
39.000000i,0.000000
997.000000i,0.000000
31.000000i,0.000000
157.000000i,0.000000
28.000000i,0.000000
2.000000i,0.000000
1.000000i,0.000000
4.000000i,0.000000
28.000000i,0.000000
16.000000i,0.000000
2.000000i,0.000000
10.000000i,0.000000
24.000000i,0.000000
10.000000i,0.000000
2.000000i,0.000000
9.000000i,0.000000
12.000000i,0.000000
2.000000i,0.000000
6.000000i,0.000000
29.000000i,0.000000
4.000000i,0.000000
